"item_name","location_name","closing_quantity","closing_rate","closing_value"
"ALFA PLUS 56GSM 67.5CMS REEL-85323788","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ANTI FUNGAL CYBER XL PAC-FSC 285GSM 51CMS REEL-85054850","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ANTI FUNGAL CYBER XL PAC-FSC 285GSM 51CMS REEL-85054872","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ANTI FUNGAL CYBER XL PAC-FSC 285GSM 51CMS REEL-85054902","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ANTI FUNGAL CYBER XL PAC-FSC 285GSM 51CMS REEL-85054918","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ANTI FUNGAL CYBER XL PAC-FSC 285GSM 51CMS REEL-85054935","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ANTI FUNGAL CYBER XL PAC-FSC 285GSM 51CMS REEL-85054945","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ANTI FUNGAL CYBER XL PAC-FSC 285GSM 51CMS REEL-85054965","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ANTI FUNGAL CYBER XL PAC-FSC 285GSM 51CMS REEL-85055022","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ANTI FUNGAL CYBER XL PAC-FSC 285GSM 51CMS REEL-85055047","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ART MAESTRO 295GSM 70CMS REEL-69690097","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BASE 280GSM 107.5CMS REEL-84719521","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 220GSM 102.2CMS REEL-68519389","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 220GSM 73CMS REEL-68912108-2","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 250GSM 128CMS REEL-654003061376","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 250GSM 128CMS REEL-654003061377","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 250GSM 55CMS REEL-85030001","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLACK PREMIUM 250GSM 55CMS REEL-85030582","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
